Entity,Code,Year,Use of insecticide-treated bed nets (% of under-5 population)
Afghanistan,AFG,2015,4.599999905
Angola,AGO,2001,2.299999952
Angola,AGO,2007,17.70000076
Angola,AGO,2011,25.89999962
Angola,AGO,2016,21.70000076
Azerbaijan,AZE,2000,1
Benin,BEN,2001,7
Benin,BEN,2006,20.29999924
Benin,BEN,2012,69.69999695
Benin,BEN,2014,72.69999695
Benin,BEN,2018,76.30000305
Botswana,BWA,2012,30.89999962
Burkina Faso,BFA,2003,1.899999976
Burkina Faso,BFA,2006,10
Burkina Faso,BFA,2010,47.40000153
Burkina Faso,BFA,2014,75.30000305
Burkina Faso,BFA,2018,54.40000153
Burundi,BDI,2000,1
Burundi,BDI,2005,8
Burundi,BDI,2010,45
Burundi,BDI,2012,53.79999924
Burundi,BDI,2016,39.90000153
Burundi,BDI,2017,39.90000153
Cambodia,KHM,2005,4
Cambodia,KHM,2006,4
Cameroon,CMR,2000,1
Cameroon,CMR,2004,1.100000024
Cameroon,CMR,2006,13
Cameroon,CMR,2011,21
Cameroon,CMR,2014,54.79999924
Cameroon,CMR,2018,59.79999924
Central African Republic,CAF,2000,2
Central African Republic,CAF,2006,15
Central African Republic,CAF,2010,36.40000153
Chad,TCD,2000,1
Chad,TCD,2010,9.800000191
Chad,TCD,2015,36.40000153
Colombia,COL,2000,0.699999988
Comoros,COM,2000,9
Comoros,COM,2012,41.09999847
Congo,COG,2005,6
Congo,COG,2012,31.5
Congo,COG,2015,60.5
Cote d'Ivoire,CIV,2000,1
Cote d'Ivoire,CIV,2004,4
Cote d'Ivoire,CIV,2005,1.299999952
Cote d'Ivoire,CIV,2006,3
Cote d'Ivoire,CIV,2012,37.20000076
Cote d'Ivoire,CIV,2016,59.70000076
Democratic Republic of Congo,COD,2001,1
Democratic Republic of Congo,COD,2007,5.800000191
Democratic Republic of Congo,COD,2010,38.09999847
Democratic Republic of Congo,COD,2014,55.79999924
Democratic Republic of Congo,COD,2018,51
Djibouti,DJI,2006,1
Djibouti,DJI,2009,19.89999962
Equatorial Guinea,GNQ,2000,1
Equatorial Guinea,GNQ,2011,23
Eritrea,ERI,2002,4
Eritrea,ERI,2008,48.90000153
Eritrea,ERI,2010,20.39999962
Eswatini,SWZ,2000,0
Eswatini,SWZ,2007,0.600000024
Eswatini,SWZ,2010,1.5
Ethiopia,ETH,2005,1.5
Ethiopia,ETH,2007,33
Ethiopia,ETH,2011,30.10000038
Ethiopia,ETH,2015,45.29999924
Gabon,GAB,2008,55.09999847
Gabon,GAB,2012,38.79999924
Gambia,GMB,2000,15
Gambia,GMB,2006,49
Gambia,GMB,2010,33.29999924
Gambia,GMB,2013,47
Gambia,GMB,2017,62.40000153
Gambia,GMB,2018,56
Gambia,GMB,2020,44
Ghana,GHA,2003,3.900000095
Ghana,GHA,2006,22
Ghana,GHA,2008,38.70000076
Ghana,GHA,2011,39
Ghana,GHA,2014,46.59999847
Ghana,GHA,2016,52.20000076
Ghana,GHA,2018,48.59999847
Ghana,GHA,2019,54.09999847
Guatemala,GTM,1999,1
Guinea,GIN,2003,4
Guinea,GIN,2005,1.399999976
Guinea,GIN,2007,5
Guinea,GIN,2008,4.5
Guinea,GIN,2012,26
Guinea,GIN,2016,67.90000153
Guinea,GIN,2018,26.60000038
Guinea-Bissau,GNB,2000,7
Guinea-Bissau,GNB,2006,39
Guinea-Bissau,GNB,2010,35.5
Guinea-Bissau,GNB,2014,80.59999847
Guyana,GUY,2000,5.5
Guyana,GUY,2005,6.699999809
Guyana,GUY,2009,24.39999962
Guyana,GUY,2014,7.400000095
Haiti,HTI,2012,12
Haiti,HTI,2017,18.20000076
India,IND,2016,5
Indonesia,IDN,2000,0
Indonesia,IDN,2007,3.700000048
Iraq,IRQ,2000,0
Kenya,KEN,2000,3
Kenya,KEN,2003,6
Kenya,KEN,2009,46.70000076
Kenya,KEN,2010,42.20000076
Kenya,KEN,2014,54.29999924
